,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
102,-0.0516,Fri Mar 09 05:02:07 +0000 2018,0.608,0.203,0.189,California Sen. Bob Hertzberg banned from hugging after investigation https://t.co/VRBnlbYY4T https://t.co/EaqJS9z2x3,3,CBSNews
103,0.4779,Fri Mar 09 04:56:29 +0000 2018,0.791,0.063,0.146,"""When thinking about today, I was really sorry we don't have the other member of our trio to celebrate with us, but… https://t.co/dV6OMR4gzQ",4,CBSNews
104,0.0,Fri Mar 09 04:28:31 +0000 2018,1.0,0.0,0.0,"The son of Tommy Lee and his ex-wife, Pamela Anderson, is speaking out about an altercation he had with his father.… https://t.co/M7PPK9KtCX",5,CBSNews
105,0.1027,Fri Mar 09 03:45:25 +0000 2018,0.766,0.108,0.126,"U.S. issues a travel warning for the Mexican city of Playa del Carmen, a popular travel destination for students tr… https://t.co/GcjbouV5BA",6,CBSNews
106,-0.1027,Fri Mar 09 03:25:00 +0000 2018,0.935,0.065,0.0,"In an unusual turnabout, hundreds of physicians in Quebec voiced opposition to a recent hike in their pay –– and sa… https://t.co/EQGR46C2Gj",7,CBSNews
107,-0.9349,Fri Mar 09 03:05:01 +0000 2018,0.515,0.485,0.0,Therapist testifies New York City nanny wasn’t suicidal or murderous days before killings of two children.… https://t.co/Z7yRsz3Lke,8,CBSNews
108,0.0,Fri Mar 09 02:45:01 +0000 2018,1.0,0.0,0.0,"""It has been a lot of miscommunication.""Patience runs thin after nor'easter knocks out power.… https://t.co/i9xz52LkN6",9,CBSNews
109,-0.5719,Fri Mar 09 02:25:01 +0000 2018,0.761,0.239,0.0,"Teen posing a cop tried to make traffic stops in California, owned cache of fake police gear.… https://t.co/K9NsSA3yBF",10,CBSNews
110,0.0,Fri Mar 09 02:05:01 +0000 2018,1.0,0.0,0.0,"New audio recordings and an updated timeline from the Parkland, Florida school shooting give a clearer picture of h… https://t.co/rKpKKeJlNT",11,CBSNews
111,-0.7717,Fri Mar 09 01:45:01 +0000 2018,0.729,0.271,0.0,"Toys ""R"" Us may be planning a sad end to its toy story: the liquidation of its bankrupt U.S. operations.… https://t.co/b2ivhEo23n",12,CBSNews
112,0.5423,Fri Mar 09 01:25:38 +0000 2018,0.809,0.0,0.191,"President Trump has agreed to meet with North Korean leader Kim Jong Un ""by May,"" South Korea's national security a… https://t.co/1y7B961N2m",13,CBSNews
113,-0.7491,Fri Mar 09 01:05:01 +0000 2018,0.738,0.262,0.0,"One researcher shows despite some speculation, 80 percent of mass shooters did not show an interest in violent vide… https://t.co/vPgIAg2t6b",14,CBSNews
114,0.0,Fri Mar 09 00:50:01 +0000 2018,1.0,0.0,0.0,"Prohibited in North Korea, K-pop's impact still felt across the border.  
https://t.co/OBJAlA4CuX https://t.co/CIJs3mwbVr",15,CBSNews
115,0.0,Fri Mar 09 00:45:01 +0000 2018,1.0,0.0,0.0,"The Interior Department is spending nearly $139,000 to upgrade three sets of double doors in the office of Secretar… https://t.co/wWspuO2Mq0",16,CBSNews
116,0.34,Fri Mar 09 00:23:52 +0000 2018,0.876,0.0,0.124,"MORE: In White House announcement, South Korean national security adviser Chung Eui-yong says President Trump has a… https://t.co/5Raryitnig",17,CBSNews
117,0.6249,Fri Mar 09 00:15:19 +0000 2018,0.758,0.0,0.242,"South Korean national security adviser: ""[Kim] expressed his eagerness to meet President Trump as soon as possible.… https://t.co/LCPNYrNcJG",18,CBSNews
118,0.34,Fri Mar 09 00:14:14 +0000 2018,0.882,0.0,0.118,"South Korean national security adviser: ""I told President Trump that in our meeting, North Korean leader Kim Jong-u… https://t.co/YbjWg5OoAI",19,CBSNews
119,0.0,Fri Mar 09 00:12:20 +0000 2018,1.0,0.0,0.0,NOW: South Korean official makes announcement on North Korea from White House driveway https://t.co/4hFR3QVIoi https://t.co/eLN7y8jY0U,20,CBSNews
120,-0.4404,Fri Mar 09 00:10:01 +0000 2018,0.854,0.146,0.0,"McDonald's flipping its golden arches upside down to resemble a ""W"" draws criticism, with some pressing the company… https://t.co/16D8eMvawB",21,CBSNews
121,0.34,Fri Mar 09 00:08:56 +0000 2018,0.862,0.0,0.138,AHEAD: South Korean national security adviser to make announcement on North Korea from White House… https://t.co/tgtzOZ36jw,22,CBSNews
122,-0.4588,Fri Mar 09 00:06:17 +0000 2018,0.842,0.158,0.0,"Banned in North Korea, K-pop's impact still felt across the border. CBS News' Holly Williams explains.… https://t.co/MhZRnroKFL",23,CBSNews
123,0.0,Fri Mar 09 00:02:26 +0000 2018,1.0,0.0,0.0,"In San Bernardino County outside Los Angeles, sheriff deputies have to be at least 21 years old. @carterevans repor… https://t.co/KBYjkqA2Un",24,CBSNews
124,-0.5574,Thu Mar 08 23:59:58 +0000 2018,0.787,0.213,0.0,The State Department has issued a travel warning advising Americans to avoid Playa del Carmen in Mexico. The resort… https://t.co/dT71FivePh,25,CBSNews
125,-0.7579,Thu Mar 08 23:56:19 +0000 2018,0.723,0.277,0.0,"The president talked about gun violence with members of the video game industry, which generated a record $37 billi… https://t.co/tepsgypYZp",26,CBSNews
126,0.0,Thu Mar 08 23:53:52 +0000 2018,1.0,0.0,0.0,Two nor'easters in less than a week have left nearly a million homes and business in the dark. Trees and wires are… https://t.co/FhJlKhSpmJ,27,CBSNews
127,0.0,Thu Mar 08 23:48:44 +0000 2018,1.0,0.0,0.0,"@CBSNews .@jillonmoney on new steel &amp; aluminum tariffs: ""If you work for a steel or an aluminum producer, it's prob… https://t.co/DpijwsH8Kr",28,CBSNews
128,0.4215,Thu Mar 08 23:44:50 +0000 2018,0.872,0.0,0.128,The president set in motion tariffs on steel and aluminum imported into the United States. Chip Reid with more.… https://t.co/UPFA0Kbne7,29,CBSNews
129,0.0,Thu Mar 08 23:40:45 +0000 2018,1.0,0.0,0.0,"Audio recordings and a new timeline from the Parkland, Florida, shooting was released. They gave a clearer picture… https://t.co/h9RaZWw5Pf",30,CBSNews
130,-0.3818,Thu Mar 08 23:20:01 +0000 2018,0.874,0.126,0.0,"Women's March leader refuses to condemn Louis Farrakhan, the anti-Semitic leader of the Nation of Islam; as recentl… https://t.co/cBxcbPNfwU",31,CBSNews
